scorer,DLC_resnet50_KF_FullMay24shuffle1_50000,DLC_resnet50_KF_FullMay24shuffle1_50000,DLC_resnet50_KF_FullMay24shuffle1_50000,DLC_resnet50_KF_FullMay24shuffle1_50000,DLC_resnet50_KF_FullMay24shuffle1_50000,DLC_resnet50_KF_FullMay24shuffle1_50000,DLC_resnet50_KF_FullMay24shuffle1_50000,DLC_resnet50_KF_FullMay24shuffle1_50000,DLC_resnet50_KF_FullMay24shuffle1_50000,DLC_resnet50_KF_FullMay24shuffle1_50000,DLC_resnet50_KF_FullMay24shuffle1_50000,DLC_resnet50_KF_FullMay24shuffle1_50000,DLC_resnet50_KF_FullMay24shuffle1_50000,DLC_resnet50_KF_FullMay24shuffle1_50000,DLC_resnet50_KF_FullMay24shuffle1_50000
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1
bodyparts,Tail,Tail,Tail,Body1,Body1,Body1,Body2,Body2,Body2,Body3,Body3,Body3,Head,Head,Head
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
60,899.389,1644.342,0.25699999928474426,835.142,1635.87,0.9950000047683716,810.936,1634.893,0.9589999914169312,790.258,1643.739,0.9819999933242798,740.434,1668.151,0.9879999756813049
61,899.705,1644.482,0.07900000363588333,834.954,1637.225,0.9869999885559082,805.667,1636.303,0.9879999756813049,790.014,1651.11,0.9929999709129333,741.438,1668.275,0.9879999756813049
62,,,,834.456,1637.842,0.9959999918937683,805.406,1644.45,0.8889999985694885,790.014,1651.11,0.9380000233650208,747.944,1668.911,0.9890000224113464
63,,,,831.585,1645.887,0.9980000257492065,805.406,1644.601,0.8629999756813049,789.784,1651.218,0.9240000247955322,747.944,1668.684,0.9940000176429749
64,,,,831.177,1647.598,0.9990000128746033,805.28,1644.714,0.9639999866485596,789.784,1651.321,0.949999988079071,747.946,1668.684,0.9869999885559082
65,,,,830.819,1650.163,0.9990000128746033,804.616,1644.726,0.7250000238418579,789.641,1651.563,0.9190000295639038,755.507,1668.911,0.9980000257492065
66,,,,830.819,1654.386,1.0,802.603,1651.936,0.9850000143051147,789.305,1652.442,0.9909999966621399,755.507,1668.684,1.0
67,,,,830.819,1654.821,1.0,802.603,1651.936,0.9800000190734863,789.305,1652.442,0.9729999899864197,755.509,1668.38,1.0
68,,,,908.25,1656.04,0.9990000128746033,802.369,1652.618,0.9919999837875366,789.292,1659.24,0.9959999918937683,755.507,1666.926,0.9990000128746033
69,780.443,1595.913,0.05900000035762787,908.25,1658.378,0.9990000128746033,797.445,1653.174,0.9909999966621399,787.949,1659.294,0.9879999756813049,755.158,1667.65,1.0
70,780.484,1596.05,0.054999999701976776,908.883,1662.279,1.0,797.127,1653.896,0.9950000047683716,778.223,1659.294,0.984000027179718,748.365,1667.65,1.0
71,860.305,1659.908,0.07400000095367432,908.691,1664.122,0.9990000128746033,796.671,1659.908,0.9890000224113464,778.165,1659.331,0.9419999718666077,748.365,1667.65,0.9990000128746033
72,867.312,1667.419,0.15399999916553497,908.691,1664.122,0.9900000095367432,795.846,1660.35,0.8820000290870667,778.165,1659.424,0.7789999842643738,747.479,1667.65,1.0
73,868.456,1689.845,0.09099999815225601,908.691,1675.558,0.9950000047683716,795.846,1660.499,0.796999990940094,778.128,1659.424,0.6790000200271606,747.392,1667.65,0.9990000128746033
74,867.768,1690.194,0.8949999809265137,908.691,1675.575,0.9739999771118164,795.794,1660.542,0.9589999914169312,771.558,1659.521,0.6230000257492065,741.891,1667.519,1.0
75,868.456,1691.359,0.9959999918937683,908.691,1677.046,0.9330000281333923,795.46,1661.058,0.5220000147819519,348.593,1907.624,0.597000002861023,738.988,1667.196,1.0
76,870.019,1691.757,0.9179999828338623,820.351,1677.046,0.8529999852180481,795.438,1667.508,0.7419999837875366,348.593,1908.276,0.48100000619888306,738.533,1666.848,1.0
77,870.019,1691.757,0.7549999952316284,820.351,1677.046,0.9800000190734863,795.298,1667.508,0.17399999499320984,348.593,1908.276,0.39100000262260437,738.533,1666.194,0.9990000128746033
78,867.768,1691.757,0.8090000152587891,819.925,1676.698,0.9210000038146973,795.176,1667.508,0.5009999871253967,355.73,1908.276,0.531000018119812,738.988,1666.162,1.0
79,846.334,1676.133,0.9459999799728394,812.153,1676.486,0.9350000023841858,794.906,1667.48,0.7990000247955322,355.73,1907.846,0.6349999904632568,739.899,1666.162,1.0
80,845.386,1665.83,0.996999979019165,812.012,1668.225,0.9869999885559082,794.882,1667.364,0.8410000205039978,757.256,1653.053,0.6809999942779541,740.964,1666.162,0.9990000128746033
81,844.414,1665.83,0.984000027179718,811.948,1668.219,0.9879999756813049,794.833,1666.519,0.9470000267028809,757.256,1653.053,0.4580000042915344,743.052,1667.887,0.9950000047683716
