name,day,uroa_control,start_y_from_led,trajectory_angle
117,3,0,-86.21852,79.5654165147418
124,3,0,-224.52391,82.94933978215562
145,3,0,-267.5218,43.77650898990857
102,3,0,-312.16486,133.19757762104882
119,3,0,-224.42961,147.6533475444715
143,3,0,-249.61601,57.78160494950661
106,3,0,-220.24419,360.0
141,3,0,-320.72852,20.48203072892815
127,3,0,-278.28247,93.86394305639828
160,3,0,-309.98157,46.47796432451571
138,3,0,-308.04395,107.84789058227915
118,3,0,-271.3474,112.40908658677365
132,2,0,-337.20917,45.048663813667496
151,2,0,-354.26572,67.14428560654723
110,2,0,-252.15376,72.10817366510861
109,2,0,-217.59265,60.34892659128022
112,2,0,-194.33113,84.64921479619268
131,2,0,-232.62042,60.69383297576144
117,2,0,-229.17052,129.75876967040475
152,2,0,-155.85732,81.31369025760475
156,2,0,-402.40927,150.96271423064402
154,2,0,-131.15367,71.02987964411463
135,2,0,-236.12811,169.5075955832105
141,2,0,-280.9057,110.92248782580535
106,2,0,-242.50984,126.82390118669198
143,2,0,-72.98755,55.917017281662154
102,2,0,-333.88934,80.12893251180736
147,2,0,-247.2355,10.25180635220714
119,2,0,-301.40698,115.17232552300959
124,2,0,-250.68799,124.85923695097249
145,2,0,-217.74658,81.80465834467317
107,2,0,-214.94786,10.656684731276533
140,2,0,-230.84018,13.418474430126661
160,2,0,-384.5915,97.49549226457789
118,2,0,-81.97795,166.72840100038496
127,2,0,-196.69893,63.898332938934324
119,5,0,-151.74712,120.18686616636727
