name,day,uroa_control,y_mag,trajectory_angle
129,2,1,0.0,360.0
155,2,1,20.913675999999953,153.25133816784765
157,2,1,0.23614400000002433,35.21729710662178
149,2,1,14.92627200000004,50.59318456749385
128,2,1,173.1427880666667,102.17038724013672
150,2,1,63.023686,82.94160335973815
133,2,1,33.03518666666662,153.31877387202329
113,2,1,2.1864360000000147,144.74984826988825
108,2,1,41.08375399999994,72.60813541359363
104,2,1,6.060355999999956,35.14913498105204
158,2,1,14.604874000000052,151.27072152437322
120,2,1,0.0,360.0
122,2,1,202.70975199999998,50.59428428512804
142,2,1,82.17674599999992,109.8225149818802
105,2,1,16.932564000000013,155.74477592378514
159,2,1,10.815901999999994,63.148328987785156
125,2,1,207.09626200000002,54.34042429915265
144,2,1,224.03084322,87.27135353129606
101,2,1,61.389677500000005,28.828587784500385
146,2,1,37.087993999999924,64.74221874073
103,2,1,102.26918733333335,121.69812363990786
120,5,1,0.6413739999999848,130.50595280207355
122,5,1,99.1001,58.09362374653063
118,1,0,16.817023999999947,161.79466068765075
160,1,0,9.173815000000019,66.47210599968993
127,1,0,30.10169000000002,131.16836038058003
107,1,0,16.723356000000024,169.3848031034139
140,1,0,70.18871999999999,92.95681218527152
138,1,0,63.314407999999844,84.45369467340304
102,1,0,12.64282049999997,140.04352858470452
117,1,0,114.66102749999996,94.7998361337905
145,1,0,34.29417000000001,75.58617693045268
124,1,0,14.119815999999958,121.92602528929265
119,1,0,63.94057600000002,105.55179812643486
141,1,0,2.222409999999968,61.477309729320645
143,1,0,34.185419333333414,56.653785241386
106,1,0,6.080959999999948,127.85604241507818
111,1,0,0.0,360.0
156,1,0,0.0,360.0
135,1,0,62.73637000000002,82.95479342018237
154,1,0,42.34553583333337,34.626330165226705
131,1,0,120.96233799999993,60.22019707010132
152,1,0,2.498771999999974,163.81784681063093
109,1,0,62.957314,57.340180971408515
110,1,0,36.864611999999966,141.6810335259972
136,1,0,12.885404499999993,158.3610292554185
151,1,0,38.44595000000004,115.22863583150861
109,4,0,47.34908799999994,24.352434345299084
110,4,0,71.66185800000005,96.77191269048045
136,4,0,69.82310249999998,74.6574001150454
132,4,0,0.7558099999999399,153.27583360567058
151,4,0,140.81144799999998,53.13452173439584
156,4,0,4.528381999999965,64.12143063606295
117,4,0,0.0,360.0
135,4,0,10.230884666666668,113.67677647501355
131,4,0,5.003047999999978,8.417764639697591
152,4,0,48.792595999999975,111.08063515778176
119,4,0,39.46719749999994,126.07120227299748
102,4,0,39.92003949999997,51.03841580991844
145,4,0,158.70117505000002,62.486052154321406
141,4,0,44.117568500000004,93.31981757191299
106,4,0,0.0,360.0
143,4,0,34.355526,155.960826568964
112,4,0,0.02182999999996582,2.1181221498742584
160,4,0,112.00072499999999,90.58045297096962
127,4,0,37.01413000000002,99.12698126743189
118,4,0,95.02413799999994,89.22778309086041
107,4,0,0.0,360.0
140,4,0,63.48414200000002,78.25700512319173
138,4,0,7.376516000000038,64.51804083875875
136,3,0,208.1863673333333,77.42443004870836
110,3,0,306.8822850000001,84.48008048031268
112,3,0,4.23143199999987,109.30391246437613
134,3,0,13.754167999999993,22.87088317261294
151,3,0,87.91722399999998,101.76136269443334
132,3,0,112.33613800000006,43.52141351700122
154,3,0,31.719105999999897,51.837922002463834
135,3,0,13.589530000000025,71.34542115236897
111,3,0,11.602698000000032,158.69045690714438
152,3,0,57.426229333333254,57.18133647123536
131,3,0,39.181227999999976,61.01218694523482
117,3,0,7.272534000000036,79.5654165147418
124,3,0,121.25047,82.94933978215562
145,3,0,28.001431999999966,43.77650898990857
102,3,0,20.407210000000077,133.19757762104882
119,3,0,22.533522000000062,147.6533475444715
143,3,0,28.427961999999923,57.78160494950661
106,3,0,0.0,360.0
141,3,0,0.5027519999999868,20.48203072892815
127,3,0,29.060887999999977,93.86394305639828
160,3,0,31.89950399999998,46.47796432451571
138,3,0,0.7342839999999455,107.84789058227915
118,3,0,61.52675400000004,112.40908658677365
132,2,0,1.2054819999999609,45.048663813667496
151,2,0,131.36907733333345,67.14428560654723
110,2,0,40.25794500000001,72.10817366510861
109,2,0,62.73211599999996,60.34892659128022
112,2,0,87.27177799999998,84.64921479619268
131,2,0,107.13774699999993,60.69383297576144
117,2,0,5.47143600000004,129.75876967040475
