name,start time(s),end time(s),start frame,end frame,x,y
d48_41_T1.mp4,89.79,94.73,2692.0,2840.0,358,748
d48_73_S1.mp4,59.89,64.73,1796.0,1941.0,477,761
d48_40_F1.mp4,88.35,93.19,2649.0,2794.0,302,650
d48_56_F1.mp4,62.40,67.23,1871.0,2016.0,360,753
d48_27_F1.mp4,90.19,95.16,2704.0,2853.0,522,807
d48_25_F1.mp4,111.64,116.55,3347.0,3494.0,379,759
d48_75_F1.mp4,59.39,64.36,1781.0,1930.0,391,721
d48_67_F1.mp4,69.74,74.71,2091.0,2240.0,388,734
d48_73_F1.mp4,59.79,64.66,1793.0,1939.0,460,726
d48_24_F1.mp4,90.76,95.66,2721.0,2868.0,589,740
d48_25_T1.mp4,87.39,92.23,2620.0,2765.0,496,562
d48_25_T1.mp4,146.41,151.32,4389.0,4536.0,496,562
d48_46_T1.mp4,83.08,88.05,2491.0,2640.0,378,774
d48_54_T1.mp4,60.09,65.03,1802.0,1950.0,414,737
d48_62_T1.mp4,62.70,67.63,1880.0,2028.0,512,873
d48_39_T1.mp4,90.26,94.66,2706.0,2838.0,546,795
d48_27_T1.mp4,88.46,93.43,2652.0,2801.0,384,514
d48_60_T1.mp4,65.77,70.67,1972.0,2119.0,494,825
d48_40_T1.mp4,89.09,93.93,2671.0,2816.0,288,718
d48_59_T1.mp4,63.20,68.13,1895.0,2043.0,513,769
d48_81_Thu1.mp4,30.30,35.27,909.0,1058.0,435,774
d48_73_T1.mp4,58.12,63.00,1743.0,1889.0,444,751
d48_57_T1.mp4,63.03,68.00,1890.0,2039.0,768,787
d48_75_T1.mp4,58.99,63.96,1769.0,1918.0,434,850
