name,start time(s),end time(s),start frame,end frame
135_F.mp4,149.08,153.05,4469.0,4588.0
131_T.mp4,84.58,88.52,2536.0,2654.0
133_T.mp4,90.36,94.36,2709.0,2829.0
131_S.mp4,91.26,95.23,2736.0,2855.0
128_S.mp4,87.72,91.62,2630.0,2747.0
135_T.mp4,89.59,93.56,2686.0,2805.0
133_S.mp4,89.82,93.79,2693.0,2812.0
135_M.mp4,63.90,67.87,1916.0,2035.0
130_M.mp4,75.21,79.08,2255.0,2371.0
159_M.mp4,88.59,92.56,2656.0,2775.0
159_M.mp4,148.58,152.55,4454.0,4573.0
158_M.mp4,90.72,94.69,2720.0,2839.0
145_F.mp4,90.66,94.63,2718.0,2837.0
153_M.mp4,90.59,94.53,2716.0,2834.0
146_T.mp4,90.92,94.89,2726.0,2845.0
146_T.mp4,150.92,154.89,4524.0,4643.0
126_M.mp4,86.75,90.72,2601.0,2720.0
125_T.mp4,87.49,91.46,2623.0,2742.0
138_M.mp4,89.39,93.33,2680.0,2798.0
137_S.mp4,76.31,79.45,2288.0,2382.0
137_F.mp4,90.59,94.53,2716.0,2834.0
141_M.mp4,90.06,93.96,2700.0,2817.0
139_M.mp4,87.79,91.76,2632.0,2751.0
116_T.mp4,86.32,90.29,2588.0,2707.0
109_S.mp4,90.39,94.33,2710.0,2828.0
108_S.mp4,86.89,90.86,2605.0,2724.0
104_S.mp4,90.42,94.39,2711.0,2830.0
106_F.mp4,87.12,91.09,2612.0,2731.0
107_S.mp4,88.35,92.29,2649.0,2767.0
121_S.mp4,87.65,91.56,2628.0,2745.0
129_F.mp4,88.79,92.76,2662.0,2781.0
129_F.mp4,148.85,152.82,4462.0,4581.0
131_F.mp4,86.45,90.42,2592.0,2711.0
131_M.mp4,88.62,92.59,2657.0,2776.0
128_M.mp4,83.32,87.29,2498.0,2617.0
129_M.mp4,84.35,88.32,2529.0,2648.0
129_M.mp4,144.34,148.31,4327.0,4446.0
