Frames,Tail_X,Tail_Y,Tail_L,Body1_X,Body1_Y,Body1_L,Body2_X,Body2_Y,Body2_L,Body3_X,Body3_Y,Body3_L,Head_X,Head_Y,Head_L,avg_dist_vel,jittery,distance_surface,avg_acc,angle
2623.0,636.6102,957.66925,0.1588127,630.53674,909.4167,0.14008461,638.2331,904.314,0.35461634,665.469,896.3708,0.35630172,714.4864,883.6286,0.5646716,,0,,,
2624.0,264.92474,1756.5275,0.20319109,626.6481,911.02313,0.2676257,648.6421,902.5172,0.35630724,673.45154,895.25507,0.37223196,717.0446,884.2811,0.5752618,,0,,,
2625.0,613.6658,931.9475,0.3768442,627.59753,905.7614,0.41236746,649.8236,901.59503,0.31985125,669.4994,892.68085,0.3403254,717.19196,883.9167,0.55942285,,0,,,
2626.0,614.16296,935.79956,0.62079406,626.5176,907.2381,0.42971605,652.726,899.26196,0.3629779,672.09326,891.9139,0.36119378,718.71643,881.9178,0.56083035,,0,,,
2627.0,613.08453,939.3601,0.7865901,629.1791,903.5027,0.536272,653.9895,896.6088,0.42248303,673.10394,890.1281,0.36463565,717.926,881.80707,0.54554605,,0,,,
2628.0,604.35284,938.75635,0.64113355,629.5964,901.55817,0.6629988,654.7701,894.7088,0.44649762,675.23047,890.27515,0.3586033,718.29736,881.08954,0.5425924,,0,,,
2629.0,601.97797,923.9226,0.39884263,627.0883,903.9747,0.43501216,653.6182,894.7724,0.40517688,672.0788,889.26886,0.35758576,717.3008,881.6682,0.55185,,0,,,
2630.0,602.9878,919.9841,0.18790899,627.1924,905.0957,0.32664022,652.86414,894.4484,0.38142732,671.73663,888.9449,0.3450091,718.0028,880.5185,0.511706,,0,,,
2631.0,265.07373,1758.635,0.14967878,617.2955,908.7296,0.38380075,650.945,894.8128,0.37934726,670.29156,888.818,0.32378593,717.5812,881.11444,0.53072065,,0,,,
2632.0,265.6542,1758.8215,0.16760696,613.12494,911.65045,0.32376277,638.2106,899.49194,0.42571,670.4459,889.2408,0.31350845,725.7528,881.16223,0.5365761,,0,,,
2633.0,262.70975,1755.7456,0.17241897,612.42975,914.07465,0.257191,636.58765,903.355,0.42353582,671.2979,892.4651,0.3482984,718.3276,880.2671,0.5392977,,0,,,
2634.0,600.2228,934.6048,0.5489056,615.5812,909.0697,0.44971845,639.50946,901.9488,0.4687273,671.5582,891.006,0.33277258,717.28534,880.4425,0.5538553,,0,,,
2635.0,600.9426,939.43524,0.6244118,612.90204,906.3489,0.530249,641.6437,899.481,0.49991676,672.0039,889.9223,0.3258414,717.86804,880.60223,0.56361425,,0,,,
2636.0,595.29407,940.8636,0.6314226,613.28217,902.2748,0.717414,642.84,897.5071,0.5358085,672.4073,889.90643,0.3425556,717.5617,880.7409,0.5778984,,0,,,
2637.0,590.22974,942.7896,0.46549657,615.57806,900.8925,0.6328451,646.3852,896.50195,0.518436,672.7147,889.8377,0.34539852,716.60046,881.4196,0.55325854,,0,,,
2638.0,589.4732,926.9881,0.24031074,611.4863,906.90186,0.44444978,645.61694,897.1015,0.5209575,671.78436,889.76624,0.3361895,715.8904,881.3369,0.5582198,,0,,,
2639.0,588.8572,924.45557,0.22459137,608.23334,907.588,0.33417538,646.22266,897.4143,0.5337576,670.729,888.45544,0.3301878,715.60504,880.84875,0.57143754,,0,,,
2640.0,264.86127,1755.3486,0.2046602,607.58185,910.6888,0.31436306,645.79144,897.4249,0.47411504,663.80133,891.54767,0.3276991,715.10077,882.2851,0.57642096,,0,,,
2641.0,264.92175,1755.2683,0.203057,601.884,912.738,0.24409637,620.85596,905.6989,0.387954,665.5716,892.401,0.34714493,714.4426,882.8433,0.56808347,,0,,,
2642.0,583.2816,933.7006,0.2829657,602.5525,909.5163,0.31016955,646.1127,898.0613,0.423079,671.868,893.26746,0.39615256,733.7691,887.97784,0.53701085,,0,,,
2643.0,575.0535,940.57983,0.6989663,599.7096,912.1578,0.6504317,636.2827,901.19403,0.5916231,673.39594,896.58405,0.45607296,728.11926,894.7498,0.47938788,,0,,,
2644.0,555.64856,944.57837,0.8910029,597.7496,913.7804,0.6972265,634.89343,900.4137,0.6657635,675.8795,897.3072,0.47042993,722.39044,901.55334,0.54318947,,0,,,
2645.0,535.9162,942.50525,0.8316525,592.4113,914.6021,0.6216965,630.5731,899.6149,0.55790085,672.4474,897.12695,0.4257407,723.42865,912.4206,0.4843796,,0,,,
2646.0,532.25476,937.1097,0.7739508,594.2654,913.0042,0.6494995,627.47723,899.40063,0.5593186,660.0829,896.4324,0.39560515,713.9959,911.1578,0.47431985,,0,,,
2647.0,535.3503,930.0486,0.9346627,600.9781,906.4147,0.82838696,640.7123,895.1301,0.45414117,665.18634,896.6193,0.40677688,707.5442,911.4714,0.5326122,,0,,,
2648.0,533.833,920.60645,0.84854376,605.4996,901.5967,0.74914056,642.65594,893.28687,0.48194444,666.98584,897.1022,0.45174822,708.4438,916.0799,0.5311371,,0,,,
2649.0,536.4227,916.02136,0.87807006,613.3911,897.25714,0.7634165,646.3301,892.40894,0.4524967,663.22076,898.46,0.4100829,708.8803,919.7095,0.44432107,,0,,,
2650.0,539.47723,917.1181,0.89669615,607.85266,899.59705,0.7189879,645.34595,893.56836,0.45812467,661.7726,900.46094,0.49989566,702.1795,923.38086,0.65084887,,0,,,
2651.0,546.8656,933.83813,0.6808328,603.5226,902.50604,0.72040623,648.5775,894.3738,0.44991034,664.3683,902.846,0.4240832,697.048,933.1264,0.54493415,,0,,,
2652.0,554.44275,926.7321,0.7801028,603.9211,898.86334,0.68210846,639.70685,890.80634,0.4116812,673.16504,907.4162,0.27041572,691.15674,943.5956,0.49539295,,0,,,
2653.0,544.71844,930.3846,0.8245173,604.9548,892.43176,0.5386245,652.5597,881.68976,0.37144202,683.0533,916.3026,0.3001742,680.83704,958.958,0.36094886,,0,,,
2654.0,548.822,913.9702,0.7298838,629.29297,875.4494,0.4888007,674.7355,895.2961,0.4329373,677.8617,919.80023,0.32805544,662.81555,979.1273,0.37963456,,0,,,
2655.0,562.603,894.157,0.752191,640.0286,870.4711,0.64203423,669.0356,901.2581,0.41853565,675.72644,943.58887,0.3474103,657.8968,990.37946,0.29328522,,0,,,
2656.0,572.8087,880.2454,0.6533395,647.9176,865.3589,0.7079292,664.0393,895.3146,0.6857896,667.6879,945.31555,0.39521042,652.893,1000.1637,0.26414165,,0,,,
2657.0,584.78394,865.7296,0.45242837,645.5519,865.3286,0.57734555,663.53735,916.0579,0.45575255,661.7932,958.73047,0.43059647,643.84015,1010.867,0.36722186,,0,,,
2658.0,620.70184,850.81256,0.42582142,647.27795,874.5482,0.46562445,660.1945,913.26715,0.5185493,661.2288,963.2434,0.4819901,641.32764,1016.6971,0.3913325,,0,,,
2659.0,626.05035,851.2221,0.3280712,650.89685,882.2603,0.3155439,652.4187,914.1703,0.5625164,655.4014,962.8511,0.41272956,639.4455,1024.8943,0.34754765,,0,,,
2660.0,627.53046,860.39,0.37253362,654.2111,880.8385,0.40715116,649.22754,921.46454,0.5283424,650.5113,976.4819,0.41306424,637.53406,1033.4613,0.39846164,,0,,,
2661.0,669.5386,867.03503,0.29528338,650.4815,889.55524,0.6154069,643.2055,930.8384,0.50618094,645.6979,991.28046,0.38946363,633.42426,1038.9574,0.32250577,,0,,,
