Frames,Tail_X,Tail_Y,Tail_L,Body1_X,Body1_Y,Body1_L,Body2_X,Body2_Y,Body2_L,Body3_X,Body3_Y,Body3_L,Head_X,Head_Y,Head_L,avg_dist_vel,jittery,distance_surface,avg_acc,angle
2839.0,263.05792,1756.3269,0.19061914,373.49658,981.7603,0.25832748,331.97144,970.99133,0.5837119,265.6809,935.80273,0.25665724,404.12244,966.73883,0.2962002,,0,,,
2840.0,422.99014,1004.655,0.3519177,365.5669,990.83545,0.61306655,323.67834,964.32086,0.57683927,287.80765,943.20905,0.23763269,255.00407,894.6651,0.25041664,,0,,,
2841.0,431.4398,1016.33954,0.63978475,367.87723,995.3697,0.62922037,328.62646,959.8647,0.46634588,294.424,927.5386,0.33639428,262.79498,881.1262,0.2984693,,0,,,
2842.0,435.6304,1033.0162,0.5916183,373.00397,998.17664,0.600266,338.1491,962.1008,0.5579473,305.8848,925.16,0.33413824,271.57028,880.7397,0.26193637,,0,,,
2843.0,440.09848,1044.9102,0.7936951,399.8005,1021.4806,0.4655723,345.35806,963.1289,0.65621674,305.29205,914.6912,0.41808483,276.51227,882.9929,0.3001501,,0,,,
2844.0,439.55374,1051.9355,0.7111989,376.43692,1004.73987,0.49408823,353.52112,965.5825,0.60269004,309.7564,912.0921,0.33197612,280.088,880.4783,0.26110473,,0,,,
2845.0,442.03043,1059.1888,0.54755133,379.09402,1002.3052,0.3701354,360.6631,966.84485,0.4790986,320.24203,913.6071,0.38504612,442.84106,1056.6705,0.25857633,,0,,,
2846.0,440.81604,1066.8073,0.5702924,387.1545,1017.99176,0.3214907,354.66916,946.87506,0.4519813,323.81763,910.99646,0.3554394,282.67868,869.06903,0.21455045,,0,,,
2847.0,435.05728,1072.0374,0.31461015,387.6518,1005.5384,0.504471,373.43198,964.7618,0.42527497,329.5027,912.2952,0.31345847,282.63486,868.0012,0.14160688,,0,,,
2848.0,419.9921,1061.4066,0.32395643,395.2378,1002.56616,0.33160245,374.16794,962.151,0.48415735,335.26355,912.08954,0.32588318,284.00922,870.4557,0.18398164,,0,,,
2849.0,418.0599,1062.3325,0.36094853,400.62613,1010.09033,0.3552675,350.42145,927.22296,0.460026,352.24844,928.06067,0.24012235,283.0584,868.73065,0.19820853,,0,,,
2850.0,417.771,1062.1729,0.4059267,399.16373,999.2885,0.3494028,367.73642,943.3899,0.48433933,320.13837,898.884,0.27977362,284.34256,868.2938,0.17714575,,0,,,
2851.0,420.57077,1062.6571,0.3980243,399.3882,997.9248,0.46627265,380.51495,963.9922,0.58411306,320.54123,898.8057,0.27167374,284.41702,868.29175,0.17787918,,0,,,
2852.0,427.7264,1064.0236,0.3539515,401.26926,998.7591,0.47207102,380.2099,963.5422,0.60843205,351.6926,930.0609,0.26158175,283.40088,867.3335,0.19581765,,0,,,
2853.0,452.72083,1067.9637,0.3182585,401.9473,998.5421,0.47467008,378.54575,960.8091,0.64028335,334.28424,910.2813,0.2741634,282.8052,867.78,0.1938053,,0,,,
2854.0,452.52847,1070.2609,0.55508274,399.87506,991.7052,0.43143794,376.4185,959.37787,0.65772736,334.86612,911.37384,0.29310283,284.16254,868.7655,0.20641671,,0,,,
2855.0,453.8159,1067.6637,0.6062196,400.16296,993.899,0.32917026,374.82623,958.87585,0.6429348,334.34442,910.6029,0.2891659,282.59314,868.1277,0.20844819,,0,,,
2856.0,456.57254,1059.456,0.61579174,398.46768,993.9593,0.30632362,373.6822,958.63257,0.6462291,332.4749,909.7287,0.23421869,282.8237,868.399,0.18413359,,0,,,
2857.0,447.61273,1057.3931,0.78093535,409.21893,1014.9816,0.31993943,372.83432,958.7687,0.649095,304.1289,885.3573,0.24282783,281.96527,868.1071,0.18986431,,0,,,
2858.0,446.8308,1054.1918,0.77941185,408.6403,1014.7479,0.3049325,371.65894,957.5646,0.6169089,319.78333,898.6484,0.22468333,282.4036,868.6496,0.19668062,,0,,,
2859.0,445.24124,1055.4761,0.66683614,408.47617,1015.25397,0.27658552,370.87036,956.8802,0.58067375,302.79956,885.14606,0.2559308,280.5307,868.1461,0.22864778,,0,,,
2860.0,446.17996,1055.2574,0.60407937,397.68143,1002.02576,0.30084795,370.71548,957.07666,0.57352966,302.8671,886.3144,0.26144278,279.63132,865.7021,0.23844838,,0,,,
2861.0,446.27634,1054.132,0.5427349,398.24396,1001.0847,0.32963935,371.55545,956.9373,0.6010557,302.25803,885.4928,0.2675065,277.97217,864.1565,0.2472202,,0,,,
2862.0,446.2178,1053.511,0.40806645,400.90546,1001.66895,0.36000767,370.8001,954.7864,0.5826962,297.15646,883.67596,0.27834642,277.96906,863.9037,0.25960723,,0,,,
2863.0,446.70776,1054.311,0.43133625,397.928,986.87726,0.38946047,363.98776,946.5106,0.5386711,299.39606,884.74774,0.26754394,277.65607,863.2381,0.2586028,,0,,,
2864.0,457.45706,1047.3934,0.58356,401.8139,985.80115,0.52867526,354.60086,943.12775,0.5717385,323.9297,911.8616,0.45145416,278.81396,863.1498,0.30287972,,0,,,
2865.0,476.4773,1023.95245,0.6623131,394.8075,970.8867,0.65687025,347.51462,943.84467,0.4652763,320.0436,920.36066,0.28996283,292.65942,896.00433,0.22414468,,0,,,
2866.0,483.4823,996.82764,0.7001201,382.7198,963.77124,0.529896,332.44672,940.5231,0.26110902,309.4301,921.2735,0.18383841,294.27713,898.2915,0.14968063,,0,,,
2867.0,467.29312,965.88696,0.6434173,375.88855,964.8685,0.26911598,918.5144,1847.178,0.25583425,300.2652,871.3834,0.2324127,325.37457,831.91547,0.39799958,,0,,,
2868.0,439.34406,962.12317,0.5252039,362.12402,969.1688,0.20436916,782.0293,1863.9219,0.23187476,313.22766,859.6451,0.20388193,330.60458,829.45465,0.39010262,,0,,,
2869.0,425.28824,969.5319,0.50472456,330.83505,971.4165,0.25657368,775.31866,1863.1736,0.2583255,315.42117,857.9599,0.31479168,342.57254,820.64905,0.4269646,,0,,,
2870.0,422.69894,978.3871,0.40329015,329.8694,972.1094,0.2596303,919.6569,1847.9843,0.24854502,319.45694,857.0428,0.37458587,344.85703,817.0384,0.454482,,0,,,
2871.0,422.29013,980.6331,0.39565927,330.25812,973.9484,0.25676933,919.5448,1847.549,0.26638827,319.8977,856.94727,0.44599947,344.20108,816.08746,0.48803815,,0,,,
2872.0,421.10504,988.70514,0.32006997,330.86526,977.2558,0.29796603,919.1323,1847.5602,0.29405293,319.1515,858.37524,0.49194,343.73676,815.68536,0.48786107,,0,,,
2873.0,420.57385,994.6156,0.3356631,331.50952,978.5339,0.3157647,759.6451,1863.5264,0.2934441,317.56683,857.9593,0.4916505,342.527,815.26086,0.47671703,,0,,,
2874.0,418.42566,997.4698,0.3703122,332.55927,979.7919,0.2842005,918.57697,1847.8813,0.34847784,316.7078,856.8821,0.448057,341.6564,813.3159,0.42528886,,0,,,
2875.0,410.35034,1004.3065,0.3723975,337.86838,984.6951,0.43866116,919.9114,1847.3816,0.3548286,315.64462,854.3665,0.39332536,340.7431,811.7063,0.41982234,,0,,,
2876.0,400.0657,1016.2948,0.6270447,342.40536,990.14624,0.3351301,919.79,1848.0952,0.3025489,311.45224,853.8517,0.43078867,335.0193,812.4507,0.46651927,,0,,,
2877.0,395.79388,1025.2844,0.34914517,352.92343,989.1514,0.3394273,920.9969,1847.7086,0.31377953,308.6169,851.8332,0.40811223,334.27463,812.4705,0.51665235,,0,,,
2878.0,405.241,1001.94183,0.59397244,340.60986,977.0018,0.45085227,925.8065,1846.4343,0.26319638,304.7767,855.2518,0.37452525,334.09824,812.12286,0.58556837,,0,,,
2879.0,388.88242,980.49115,0.48075688,300.75436,971.10034,0.30383584,926.92017,1847.1638,0.2552629,304.40295,857.66797,0.47620204,336.60382,809.93304,0.48966157,,0,,,
2880.0,364.08902,986.5741,0.36149234,288.9823,977.3861,0.27761763,327.2502,827.0655,0.29622588,305.2945,856.8164,0.4139285,344.50677,806.8563,0.5931168,,0,,,
