day,uroa_control,start_y_from_led,trajectory_angle,y_mag,y_up
2,1,-202.01094,102.17038724013672,173.1427880666667,41.666666666666664
2,1,-388.59805,82.94160335973815,63.023686,95.86776859504133
2,1,-251.63432,153.31877387202329,33.03518666666662,10.084033613445378
2,1,-242.17755,144.74984826988825,2.1864360000000147,91.52542372881356
2,1,-165.78142,72.60813541359363,41.08375399999994,21.008403361344538
2,1,-304.3814,35.14913498105204,6.060355999999956,43.58974358974359
2,1,-373.63617,151.27072152437322,14.604874000000052,76.66666666666667
2,1,-144.56186,360.0,0.0,0.0
2,1,-218.522,50.59428428512804,202.70975199999998,98.33333333333333
2,1,-400.31604,109.8225149818802,82.17674599999992,96.93877551020408
2,1,-143.06541,155.74477592378514,16.932564000000013,41.666666666666664
2,1,-182.4913,63.148328987785156,10.815901999999994,50.0
2,1,-323.6018,54.34042429915265,207.09626200000002,40.833333333333336
2,1,-281.48068,87.27135353129606,224.03084322,99.16666666666667
2,1,-233.78412,28.828587784500385,61.389677500000005,0.847457627118644
2,1,-273.47427,64.74221874073,37.087993999999924,96.66666666666667
2,1,-156.7139,121.69812363990786,102.26918733333335,98.33333333333333
5,1,-94.58223,130.50595280207355,0.6413739999999848,7.5
5,1,-427.27283,58.09362374653063,99.1001,99.17355371900827
1,0,-204.24875,161.79466068765075,16.817023999999947,71.66666666666667
1,0,-90.66252,66.47210599968993,9.173815000000019,2.0
1,0,-215.09895,131.16836038058003,30.10169000000002,14.166666666666666
1,0,-297.54764,169.3848031034139,16.723356000000024,97.5
1,0,-150.8728,92.95681218527152,70.18871999999999,55.833333333333336
1,0,-330.20062,84.45369467340304,63.314407999999844,30.508474576271187
1,0,-165.14867,140.04352858470452,12.64282049999997,31.666666666666668
1,0,-199.36087,94.7998361337905,114.66102749999996,96.66666666666667
1,0,-117.18759,75.58617693045268,34.29417000000001,29.166666666666668
1,0,-180.19516,121.92602528929265,14.119815999999958,95.0
1,0,-238.23734,105.55179812643486,63.94057600000002,80.83333333333333
1,0,-273.26837,61.477309729320645,2.222409999999968,11.864406779661017
1,0,-97.2341,56.653785241386,34.185419333333414,45.0
1,0,-272.6615,127.85604241507818,6.080959999999948,54.166666666666664
1,0,-214.0146,360.0,0.0,0.0
1,0,-311.17612,360.0,0.0,0.0
1,0,-303.21393,82.95479342018237,62.73637000000002,71.66666666666667
1,0,-86.67076,34.626330165226705,42.34553583333337,73.10924369747899
1,0,-236.26797,60.22019707010132,120.96233799999993,68.0672268907563
1,0,-166.94887,163.81784681063093,2.498771999999974,50.833333333333336
1,0,-261.77795,57.340180971408515,62.957314,99.15966386554622
1,0,-217.85269,141.6810335259972,36.864611999999966,70.83333333333333
1,0,-225.89053,158.3610292554185,12.885404499999993,6.779661016949152
1,0,-283.63025,115.22863583150861,38.44595000000004,87.06896551724138
4,0,-281.56805,24.352434345299084,47.34908799999994,6.779661016949152
4,0,-266.563,96.77191269048045,71.66185800000005,99.15254237288136
4,0,-145.18948,74.6574001150454,69.82310249999998,98.34710743801652
4,0,-295.34158,153.27583360567058,0.7558099999999399,26.470588235294116
4,0,-330.98938,53.13452173439584,140.81144799999998,65.54621848739495
4,0,-302.2182,64.12143063606295,4.528381999999965,25.833333333333332
4,0,-136.30028,360.0,0.0,0.0
4,0,-273.63754,113.67677647501355,10.230884666666668,54.166666666666664
4,0,-259.36682,8.417764639697591,5.003047999999978,3.3333333333333335
4,0,-163.32494,111.08063515778176,48.792595999999975,94.11764705882354
4,0,-198.10371,126.07120227299748,39.46719749999994,3.6363636363636362
4,0,-234.08902,51.03841580991844,39.92003949999997,24.166666666666668
4,0,-156.99126,62.486052154321406,158.70117505000002,50.42016806722689
